time,Ri_Fx_Mi,Ri_Fy_Mi,Ri_Fz_Mi,Ri_rx_MiMj,Ri_ry_MiMj,Ri_rz_MiMj,Ri_vx_MiMj,Ri_vy_MiMj,Ri_vz_MiMj,k,c,sigma0,sigma1,sigma2,alpha,mu_s,mu_c,v_s,z,der(z)
0.4500000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.4600000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.4700000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.4800000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.4900000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5000000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5100000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5200000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5300000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5400000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5500000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5600000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5700000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5800000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.5900000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6000000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6100000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6200000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6300000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6400000000000003,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6500000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.6600000000000004,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
